 N  ;       identifier        ;  coord1 (ICRS,J2000/2000)   ; coord2 (ICRS,J2000/2000)  ;Mag V 
773 ;* 23 Com                 ;12 34 51.08058 +22 37 45.3303;188.71283575 +22.62925841  ; 4.786
774 ;* gam CMa                ;07 03 45.49305 -15 37 59.8300;105.93955437 -15.63328610  ; 4.12 
775 ;HR 7064                  ;18 46 04.47990 +26 39 43.6641;281.51866625 +26.66212892  ; 4.84 
776 ;* pi. And                ;00 36 52.84926 +33 43 09.6384;009.22020523 +33.71934400  ; 4.36 
777 ;* sig Oph                ;17 26 30.88004 +04 08 25.2940;261.62866683 +04.14035945  ; 4.31 
778 ;* 1 Peg                  ;21 24 23.68430 +20 01 13.0015;321.09868459 +20.02027820  ; 4.09 
779 ;* eps Gem                ;06 43 55.92626 +25 07 52.0515;100.98302608 +25.13112541  ; 2.98 
780 ;* p Pup                  ;07 35 22.89366 -28 22 09.5735;113.84539026 -28.36932596  ; 4.63 
781 ;* phi Gem                ;07 53 29.81390 +26 45 56.8252;118.37422460 +26.76578479  ; 4.977
782 ;* psi Vir                ;12 54 21.16342 -09 32 20.3783;193.58818091 -09.53899396  ; 4.80 
783 ;HD 162214                ;17 50 13.202 -06 42 28.48    ;267.555008 -06.707911      ; 4.30 
784 ;* del Gem                ;07 20 07.37978 +21 58 56.3377;110.03074909 +21.98231603  ; 3.53 
785 ;* alf Com A              ;13 09 59.285 +17 31 45.86    ;197.497021 +17.529406      ; 4.85 
786 ;NGC 2232                 ;06 27 15.0 -04 45 30         ;096.8125 -04.7583          ; 3.9  
787 ;* h Cen A                ;13 53 12.54 -31 55 39.4      ;208.30225 -31.92761        ; 4.72 
788 ;* eps Leo                ;09 45 51.07330 +23 46 27.3208;146.46280542 +23.77425578  ; 2.98 
789 ;* bet Cet                ;00 43 35.37090 -17 59 11.7827;010.89737874 -17.98660632  ; 2.01 
790 ;* chi01 Ori              ;05 54 22.98299 +20 16 34.2220;088.59576246 +20.27617278  ; 4.40 
791 ;* ups Lib                ;15 37 01.45020 -28 08 06.2926;234.25604250 -28.13508129  ; 3.609
792 ;* gam Ori                ;05 25 07.86325 +06 20 58.9318;081.28276356 +06.34970326  ; 1.64 
793 ;* ksi Ser                ;17 37 35.19983 -15 23 54.7940;264.39666596 -15.39855388  ; 3.539
794 ;* ups Gem                ;07 35 55.34970 +26 53 44.6751;113.98062377 +26.89574308  ; 4.06 
795 ;* gam Vir B              ;12 41 39.813 -01 26 57.63    ;190.415887 -01.449342      ; 3.484
796 ;* phi01 Ori              ;05 34 49.23804 +09 29 22.4878;083.70515849 +09.48957995  ; 4.41 
797 ;* h02 Sgr                ;19 36 42.43288 -24 53 01.0288;294.17680369 -24.88361911  ; 4.598
798 ;* 14 Ari                 ;02 09 25.33191 +25 56 23.5988;032.35554961 +25.93988855  ; 4.983
799 ;* 9 Vul                  ;19 34 34.89569 +19 46 24.2462;293.64539872 +19.77340171  ; 5.00 
800 ;* 4 Sgr                  ;17 59 47.55508 -23 48 58.0876;269.94814616 -23.81613545  ; 4.731
801 ;M 44                     ;08 40 24.0 +19 40 00         ;130.1000 +19.6667          ; 3.1  
802 ;NGC 2264                 ;06 40 58.0 +09 53 42         ;100.2417 +09.8950          ; 3.9  
803 ;* tet Lib                ;15 53 49.53806 -16 43 45.4582;238.45640859 -16.72929396  ; 4.16 
804 ;* eta Hya                ;08 43 13.47499 +03 23 55.1867;130.80614580 +03.39866297  ; 4.300
805 ;GJ 670 A                 ;17 21 00.221 -21 06 44.76    ;260.250921 -21.112433      ; 4.387
806 ;SRS 42961                ;13 51 48.0 -33 00 00         ;207.9500 -33.0000          ; 4.7  
807 ;HR 2275                  ;06 19 59.60059 -02 56 40.1765;094.99833581 -02.94449348  ; 4.933
808 ;* rho Cap A              ;20 28 51.621 -17 48 49.35    ;307.215088 -17.813708      ; 4.93 
809 ;* c Ori                  ;05 35 23.16427 -04 50 18.0881;083.84651779 -04.83835781  ; 4.59 
810 ;CCDM J10556+2445AB       ;10 55 36.79658 +24 44 58.9823;163.90331908 +24.74971730  ; 4.32 
811 ;* nu. Hya                ;10 49 37.48875 -16 11 37.1360;162.40620311 -16.19364888  ; 3.11 
812 ;* eps Psc                ;01 02 56.60862 +07 53 24.4855;015.73586927 +07.89013487  ; 4.28 
813 ;* pi. Peg                ;22 09 59.24371 +33 10 41.5976;332.49684881 +33.17822156  ; 4.29 
814 ;* eps And                ;00 38 33.34610 +29 18 42.3135;009.63894207 +29.31175374  ; 4.38 
815 ;* omi Vir                ;12 05 12.54049 +08 43 58.7498;181.30225203 +08.73298605  ; 4.12 
816 ;* 42 Peg                 ;22 41 27.732 +10 49 52.64    ;340.365550 +10.831289      ; 3.41 
817 ;* 69 Aql                 ;20 29 38.99952 -02 53 07.9105;307.41249801 -02.88553069  ; 4.912
818 ;* 74 Oph                 ;18 20 52.06316 +03 22 37.7994;275.21692985 +03.37716651  ; 4.857
819 ;* 109 Vir                ;14 46 14.92536 +01 53 34.3845;221.56218900 +01.89288458  ; 3.73 
820 ;* 39 Ari                 ;02 47 54.54142 +29 14 49.6132;041.97725592 +29.24711478  ; 4.510
821 ;* zet Cap                ;21 26 40.02634 -22 24 40.8042;321.66677642 -22.41133450  ; 3.74 
822 ;* 42 Lib                 ;15 40 16.89414 -23 49 05.0828;235.07039227 -23.81807856  ; 4.96 
823 ;* 17 Cyg                 ;19 46 25.60019 +33 43 39.3452;296.60666745 +33.72759590  ; 4.99 
824 ;TYC 224-1333-1           ;08 46 46.528 +06 25 07.64    ;131.693867 +06.418789      ; 3.49 
825 ;* iot CrB                ;16 01 26.56488 +29 51 03.8243;240.36068701 +29.85106232  ; 4.975
826 ;* zet Vir                ;13 34 41.745 -00 35 45.38    ;203.673937 -00.595939      ; 3.38 
827 ;* eps Mon                ;06 23 46.10 +04 35 34.2      ;095.94208 +04.59283        ; 4.30 
828 ;* 11 Com                 ;12 20 43.02654 +17 47 34.3332;185.17927725 +17.79287033  ; 4.74 
829 ;* G Hya                  ;09 27 18.40776 -22 20 37.6071;141.82669899 -22.34377976  ; 4.69 
830 ;* p02 Leo                ;11 01 49.67462 -02 29 04.5007;165.45697759 -02.48458352  ; 4.75 
831 ;M 47                     ;07 36 35.0 -14 29 00         ;114.1458 -14.4833          ; 4.4  
832 ;* bet Cyg A              ;19 30 43.28052 +27 57 34.8483;292.68033548 +27.95968007  ; 3.085
833 ;* l Hya                  ;14 28 10.42638 -29 29 29.8884;217.04344327 -29.49163566  ; 4.972
834 ;* del Sge                ;19 47 23.26253 +18 32 03.4401;296.84692720 +18.53428891  ; 3.82 
835 ;* 47 Oph                 ;17 26 37.88094 -05 05 11.7500;261.65783725 -05.08659722  ; 4.54 
836 ;* kap Psc                ;23 26 55.95586 +01 15 20.1900;351.73314942 +01.25560833  ; 4.94 
837 ;ADS 3962 AB              ;05 22 50.3 +03 32 52         ;080.7096 +03.5478          ; 4.99 
838 ;* tet Peg                ;22 10 11.98528 +06 11 52.3078;332.54993865 +06.19786326  ; 3.55 
839 ;* iot Gem                ;07 25 43.59532 +27 47 53.0929;111.43164715 +27.79808135  ; 3.79 
840 ;* del Hya                ;08 37 39.36627 +05 42 13.6057;129.41402612 +05.70377937  ; 4.137
841 ;ADS 2843 AB              ;03 54 07.5 +31 52 56         ;058.5313 +31.8822          ; 2.83 
842 ;NAME NGC 5171 Group      ;13 29 22.3 +11 47 31         ;202.3429 +11.7919          ; 4.7  
843 ;* chi01 Hya              ;11 05 19.90766 -27 17 36.9957;166.33294857 -27.29360991  ; 4.94 
844 ;* 29 CMa                 ;07 18 40.37940 -24 33 31.3206;109.66824749 -24.55870016  ; 4.95 
845 ;* zet Gem                ;07 04 06.53079 +20 34 13.0739;106.02721162 +20.57029829  ; 3.79 
846 ;* omi Her                ;18 07 32.55073 +28 45 44.9679;271.88562802 +28.76249107  ; 3.837
847 ;* 132 Tau                ;05 49 00.96598 +24 34 03.1220;087.25402491 +24.56753388  ; 4.894
848 ;* pi. Sco                ;15 58 51.11324 -26 06 50.7886;239.71297183 -26.11410794  ; 2.91 
849 ;* omi02 Ori              ;04 56 22.27612 +13 30 52.0932;074.09281715 +13.51447033  ; 4.06 
850 ;* tau Boo                ;13 47 15.74340 +17 27 24.8552;206.81559750 +17.45690422  ; 4.49 
851 ;* rho Cap                ;20 28 51.61448 -17 48 49.2693;307.21506035 -17.81368591  ; 4.803
852 ;* ksi Ori                ;06 11 56.39693 +14 12 31.5555;092.98498722 +14.20876543  ; 4.48 
853 ;* 89 Aqr                 ;23 09 54.89736 -22 27 27.4192;347.47873899 -22.45761644  ; 4.80 
854 ;* 88 Tau                 ;04 35 39.25910 +10 09 38.8396;068.91357960 +10.16078879  ; 4.251
855 ;* gam Vir                ;12 41 39.64344 -01 26 57.7421;190.41518098 -01.44937282  ; 2.74 
856 ;* tau Psc                ;01 11 39.63647 +30 05 22.6909;017.91515195 +30.08963635  ; 4.523
857 ;* 6 Cet                  ;00 11 15.85761 -15 28 04.7258;002.81607340 -15.46797939  ; 4.89 
858 ;* gam Eri                ;03 58 01.76695 -13 30 30.6698;059.50736229 -13.50851938  ; 2.94 
859 ;* gam Cet A              ;02 43 18.120 +03 14 10.20    ;040.825500 +03.236167      ; 3.540
860 ;* c02 Sco                ;16 12 18.20490 -27 55 34.9457;243.07585374 -27.92637382  ; 4.567
861 ;* pi.02 Ori              ;04 50 36.72298 +08 54 00.6493;072.65301243 +08.90018037  ; 4.35 
862 ;* bet Crv                ;12 34 23.23484 -23 23 48.3374;188.59681183 -23.39676040  ; 2.64 
863 ;* nu. Sco                ;16 11 59.73568 -19 27 38.5361;242.99889865 -19.46070448  ; 4.00 
864 ;* alf Ari                ;02 07 10.40570 +23 27 44.7032;031.79335710 +23.46241755  ; 2.01 
865 ;* eps Boo B              ;14 44 59.180 +27 04 29.74    ;221.246583 +27.074928      ; 4.801
866 ;C 0634+060               ;06 37 19.0 +05 57 55         ;099.3290 +05.9654          ; 4.6  
867 ;* zet Eri                ;03 15 50.02656 -08 49 11.0220;048.95844401 -08.81972834  ; 4.80 
868 ;* bet Lyr                ;18 50 04.79525 +33 21 45.6100;282.51998020 +33.36266944  ; 3.42 
869 ;* omi Peg                ;22 41 45.40961 +29 18 27.4918;340.43920671 +29.30763661  ; 4.79 
870 ;* lam Vir                ;14 19 06.59235 -13 22 15.9459;214.77746812 -13.37109609  ; 4.520
871 ;HR 7739                  ;20 15 15.89542 +25 35 31.0549;303.81623093 +25.59195970  ; 4.759
872 ;* omi Ser                ;17 41 24.87286 -12 52 31.1086;265.35363693 -12.87530795  ; 4.244
873 ;TYC 5233-2298-1          ;22 35 21.332 -00 07 02.53    ;338.838883 -00.117369      ; 4.03 
874 ;* 47 Tau A               ;04 13 56.385 +09 15 49.72    ;063.484937 +09.263811      ; 4.95 
875 ;* lam Psc                ;23 42 02.80612 +01 46 48.1484;355.51169216 +01.78004123  ; 4.51 
876 ;* tau08 Eri              ;03 53 42.70302 -24 36 44.0309;058.42792927 -24.61223080  ; 4.625
877 ;* nu. Aql                ;19 26 31.09000 +00 20 18.8521;291.62954169 +00.33857003  ; 4.72 
878 ;* psi01 Ori              ;05 24 44.82664 +01 50 47.2039;081.18677766 +01.84644553  ; 4.96 
879 ;* 11 Lib                 ;14 51 01.07273 -02 17 56.9488;222.75446970 -02.29915244  ; 4.94 
880 ;* pi.06 Ori              ;04 58 32.90210 +01 42 50.4582;074.63709208 +01.71401616  ; 4.474
881 ;* chi Psc                ;01 11 27.21877 +21 02 04.7406;017.86341155 +21.03465016  ; 4.666
882 ;* del Mon                ;07 11 51.860 -00 29 33.96    ;107.966083 -00.492767      ; 4.15 
883 ;* bet Mon B              ;06 28 49.4266 -07 02 03.835  ;097.2059442 -07.0343986    ; 5.00 
884 ;GJ 188 A                 ;05 07 27.007 +18 38 42.18    ;076.862529 +18.645050      ; 4.99 
885 ;* ome01 Aqr              ;23 39 47.06778 -14 13 19.8376;354.94611576 -14.22217712  ; 4.985
886 ;* zet Boo                ;14 41 08.95158 +13 43 41.8967;220.28729823 +13.72830463  ; 3.793
887 ;M 10                     ;16 57 09.05 -04 06 01.1      ;254.28771 -04.10031        ; 4.98 
888 ;HD 106760                ;12 16 30.13749 +33 03 41.5000;184.12557286 +33.06152778  ; 4.94 
889 ;* kap Lib                ;15 41 56.79858 -19 40 43.7745;235.48666075 -19.67882626  ; 4.72 
890 ;* o Vir                  ;13 34 07.93186 +03 39 32.2738;203.53304940 +03.65896495  ; 4.94 
891 ;* bet Peg                ;23 03 46.45746 +28 04 58.0336;345.94357275 +28.08278712  ; 2.42 
892 ;* tet CMa                ;06 54 11.39877 -12 02 19.0674;103.54749486 -12.03862984  ; 4.08 
893 ;* bet Cnc                ;08 16 30.92101 +09 11 07.9579;124.12883753 +09.18554387  ; 3.520
894 ;* iot Leo                ;11 23 55.45273 +10 31 46.2195;170.98105304 +10.52950540  ; 4.00 
895 ;** STF 100               ;01 13 43.80 +07 34 31.8      ;018.43250 +07.57550        ; 4.86 
896 ;* bet Aqr                ;21 31 33.53171 -05 34 16.2320;322.88971548 -05.57117555  ; 2.89 
897 ;* ups01 Hya              ;09 51 28.69384 -14 50 47.7710;147.86955765 -14.84660307  ; 4.11 
898 ;* del Sct                ;18 42 16.427 -09 03 09.18    ;280.568446 -09.052550      ; 4.71 
899 ;CCDM J02592+2120AB       ;02 59 12.72536 +21 20 25.5575;044.80302232 +21.34043264  ; 4.66 
900 ;* eps Peg                ;21 44 11.15614 +09 52 30.0311;326.04648391 +09.87500865  ; 2.39 
901 ;* alf Mic                ;20 49 58.08012 -33 46 47.0068;312.49200048 -33.77972411  ; 4.900
902 ;* eps Aqr                ;20 47 40.55260 -09 29 44.7877;311.91896918 -09.49577436  ; 3.77 
903 ;HR 6337                  ;17 03 07.87145 +14 05 31.0089;255.78279773 +14.09194691  ; 4.98 
904 ;* alf CMi                ;07 39 18.11950 +05 13 29.9552;114.82549791 +05.22498756  ; 0.37 
905 ;* sig Gem                ;07 43 18.72698 +28 53 00.6422;115.82802908 +28.88351172  ; 4.29 
906 ;* 41 Oph                 ;17 16 36.687 -00 26 43.15    ;259.152862 -00.445319      ; 4.743
907 ;* zet Per                ;03 54 07.92248 +31 53 01.0812;058.53301032 +31.88363368  ; 2.85 
908 ;* eps Eri                ;03 32 55.84496 -09 27 29.7312;053.23268735 -09.45825866  ; 3.73 
909 ;HR 5969                  ;16 03 20.62331 -25 51 54.8650;240.83593045 -25.86524028  ; 4.973
910 ;* sig Cet                ;02 32 05.22884 -15 14 40.8278;038.02178683 -15.24467439  ; 4.75 
911 ;* bet Ser                ;15 46 11.25435 +15 25 18.5959;236.54689311 +15.42183219  ; 3.67 
912 ;* nu. Ser                ;17 20 49.66149 -12 50 48.7533;260.20692289 -12.84687591  ; 4.336
913 ;HD 164669                ;18 01 30.40812 +21 35 44.8084;270.37670051 +21.59578012  ; 4.96 
914 ;* chi Oph                ;16 27 01.43499 -18 27 22.4938;246.75597912 -18.45624827  ; 4.43 
915 ;* mu. Ori                ;06 02 22.99668 +09 38 50.1820;090.59581950 +09.64727279  ; 4.130
916 ;M 41                     ;06 46 01.0 -20 45 24         ;101.5042 -20.7567          ; 4.5  
917 ;* 69 Vir                 ;13 27 27.16424 -15 58 24.8902;201.86318435 -15.97358060  ; 4.758
918 ;* iot Peg                ;22 07 00.66597 +25 20 42.4048;331.75277487 +25.34511244  ; 3.770
919 ;* e Ori                  ;05 23 56.82768 -07 48 29.0332;080.98678198 -07.80806478  ; 4.12 
920 ;* p Cen                  ;12 50 41.16569 -33 59 57.4880;192.67152370 -33.99930223  ; 4.907
921 ;* 20 Oph                 ;16 49 50.01604 -10 46 58.7775;252.45840017 -10.78299375  ; 4.646
922 ;* sig Boo                ;14 34 40.81699 +29 44 42.4590;218.67007081 +29.74512750  ; 4.47 
923 ;* pi. Leo                ;10 00 12.80589 +08 02 39.2032;150.05335788 +08.04422311  ; 4.70 
924 ;* tau Boo A              ;13 47 15.743 +17 27 24.82    ;206.815596 +17.456894      ; 4.54 
925 ;* mu. Oph                ;17 37 50.71309 -08 07 07.5749;264.46130452 -08.11877079  ; 4.62 
926 ;* gam Mon                ;06 14 51.33367 -06 16 29.1880;093.71389027 -06.27477445  ; 3.96 
927 ;IDS 05162-2120           ;05 20 26.91893 -21 14 23.1516;080.11216222 -21.23976432  ; 4.729
928 ;* 27 Hya                 ;09 20 29.01857 -09 33 20.5054;140.12091069 -09.55569595  ; 4.818
929 ;* lam Ari                ;01 57 55.71647 +23 35 45.8295;029.48215194 +23.59606375  ; 4.776
930 ;* phi Aqr                ;23 14 19.35787 -06 02 56.3998;348.58065778 -06.04899994  ; 4.22 
931 ;* pi. Hya                ;14 06 22.29749 -26 40 56.5024;211.59290619 -26.68236178  ; 3.28 
932 ;* ksi UMa                ;11 18 10.932 +31 31 45.44    ;169.545550 +31.529289      ; 3.79 
933 ;* ome02 Aqr              ;23 42 43.34473 -14 32 41.6523;355.68060303 -14.54490342  ; 4.483
934 ;V* U Hya                 ;10 37 33.27295 -13 23 04.3529;159.38863731 -13.38454248  ; 4.82 
935 ;* eta CMa                ;07 24 05.70228 -29 18 11.1798;111.02375950 -29.30310551  ; 2.45 
936 ;* alf Psc A              ;02 02 02.824 +02 45 49.43    ;030.511767 +02.763731      ; 4.11 
937 ;* del Lib                ;15 00 58.35013 -08 31 08.2063;225.24312556 -08.51894620  ; 4.93 
938 ;* pi.01 Boo              ;14 40 43.56782 +16 25 05.9692;220.18153260 +16.41832478  ; 4.54 
939 ;* del Tau                ;04 22 56.09253 +17 32 33.0487;065.73371889 +17.54251353  ; 3.76 
940 ;* 31 Boo                 ;14 41 38.75021 +08 09 42.3517;220.41145922 +08.16176435  ; 4.865
941 ;* del Sgr                ;18 20 59.64354 -29 49 41.1659;275.24851476 -29.82810164  ; 2.668
942 ;* zet Ser                ;18 00 29.01137 -03 41 24.9685;270.12088072 -03.69026904  ; 4.633
943 ;* alf Ser                ;15 44 16.07431 +06 25 32.2633;236.06697631 +06.42562868  ; 2.630
944 ;* del Tri                ;02 17 03.23016 +34 13 27.2260;034.26345899 +34.22422944  ; 4.87 
945 ;* gam01 Leo              ;10 19 58.427 +19 50 28.53    ;154.993446 +19.841258      ; 1.98 
946 ;* bet Hya                ;11 52 54.52149 -33 54 29.2672;178.22717287 -33.90812978  ; 4.28 
947 ;* iot Aqr                ;22 06 26.22742 -13 52 10.8615;331.60928092 -13.86968374  ; 4.27 
948 ;* omi Sco                ;16 20 38.18068 -24 10 09.5491;245.15908616 -24.16931920  ; 4.57 
949 ;* zet Oph                ;16 37 09.53905 -10 34 01.5295;249.28974606 -10.56709152  ; 2.56 
950 ;* 54 Per                 ;04 20 24.63829 +34 34 00.2110;065.10265956 +34.56672528  ; 4.933
951 ;* alf Gem                ;07 34 35.87319 +31 53 17.8160;113.64947164 +31.88828222  ; 1.58 
952 ;* eta Ori                ;05 24 28.61672 -02 23 49.7311;081.11923634 -02.39714754  ; 3.35 
953 ;* i Lup                  ;15 14 37.31993 -31 31 08.8537;228.65549970 -31.51912602  ; 4.924
954 ;* 70 Oph A               ;18 05 27.371 +02 29 59.32    ;271.364046 +02.499811      ; 4.123
955 ;* tau05 Eri              ;03 33 47.27613 -21 37 58.3830;053.44698387 -21.63288417  ; 4.30 
956 ;* tau04 Eri              ;03 19 31.00224 -21 45 28.3049;049.87917599 -21.75786249  ; 3.70 
957 ;* eta Oph A              ;17 10 22.653 -15 43 30.57    ;257.594388 -15.725158      ; 2.463
958 ;* bet Crt                ;11 11 39.48783 -22 49 33.0593;167.91453265 -22.82584981  ; 4.461
959 ;* iot Lib                ;15 12 13.29025 -19 47 30.1592;228.05537606 -19.79171090  ; 4.54 
960 ;* del Lep                ;05 51 19.29613 -20 52 44.7232;087.83040053 -20.87908977  ; 3.85 
961 ;* mu.01 Cyg              ;21 44 08.589 +28 44 33.38    ;326.035788 +28.742606      ; 4.51 
962 ;* del CMa                ;07 08 23.48405 -26 23 35.5185;107.09785021 -26.39319957  ; 1.84 
963 ;TYC 5855-2292-1          ;01 44 05.078 -15 56 22.22    ;026.021158 -15.939506      ; 3.49 
964 ;* eta Crv                ;12 32 04.22653 -16 11 45.6165;188.01761054 -16.19600458  ; 4.31 
965 ;* zet Aql                ;19 05 24.60802 +13 51 48.5182;286.35253340 +13.86347728  ; 2.99 
966 ;* alf Tri                ;01 53 04.90710 +29 34 43.7801;028.27044623 +29.57882780  ; 3.42 
967 ;HR 500                   ;01 42 43.51110 -03 41 24.7253;025.68129625 -03.69020148  ; 4.996
968 ;* 70 Vir                 ;13 28 25.80861 +13 46 43.6386;202.10753586 +13.77878851  ; 4.970
969 ;* omi02 CMa              ;07 03 01.47211 -23 49 59.8523;105.75613381 -23.83329231  ; 3.02 
970 ;* alf Pyx                ;08 43 35.53756 -33 11 10.9898;130.89807315 -33.18638605  ; 3.68 
971 ;NOVA Com 1877            ;14 07 04.4 +20 44 45         ;211.7683 +20.7458          ; 4.5  
972 ;* tet Lep                ;06 06 09.32339 -14 56 06.9188;091.53884747 -14.93525522  ; 4.669
973 ;* alf Peg                ;23 04 45.65345 +15 12 18.9617;346.19022269 +15.20526715  ; 2.48 
974 ;* 11 Ori                 ;05 04 34.14916 +15 24 14.7771;076.14228818 +15.40410474  ; 4.663
975 ;* lam Hya                ;10 10 35.27667 -12 21 14.6938;152.64698611 -12.35408162  ; 3.61 
976 ;* 24 Cap                 ;21 07 07.66733 -25 00 21.0790;316.78194719 -25.00585528  ; 4.50 
977 ;* tet Cap                ;21 05 56.82783 -17 13 58.3021;316.48678263 -17.23286169  ; 4.07 
978 ;UCAC3 147-122477         ;10 26 05.426 -16 50 10.65    ;156.522608 -16.836292      ; 3.809
979 ;* del Sco                ;16 00 20.00528 -22 37 18.1431;240.08335535 -22.62170643  ; 2.32 
980 ;* alf Sco                ;16 29 24.45970 -26 25 55.2094;247.35191542 -26.43200261  ; 0.91 
981 ;* 54 Leo A               ;10 55 36.801 +24 44 59.00    ;163.903337 +24.749722      ; 4.50 
982 ;* bet Ari                ;01 54 38.41099 +20 48 28.9133;028.66004579 +20.80803147  ; 2.65 
983 ;* bet Sct                ;18 47 10.47250 -04 44 52.3271;281.79363542 -04.74786864  ; 4.22 
984 ;* eps Crt                ;11 24 36.59019 -10 51 33.5591;171.15245913 -10.85932196  ; 4.823
985 ;* gam Crt                ;11 24 52.92362 -17 41 02.4300;171.22051508 -17.68400833  ; 4.08 
986 ;* psi Cap                ;20 46 05.73263 -25 16 15.2312;311.52388594 -25.27089755  ; 4.152
987 ;* ksi Boo                ;14 51 23.37993 +19 06 01.6994;222.84741637 +19.10047205  ; 4.593
988 ;* lam Aqr                ;22 52 36.87441 -07 34 46.5542;343.15364336 -07.57959838  ; 3.79 
989 ;* c Vir                  ;12 20 20.98134 +03 18 45.2604;185.08742223 +03.31257233  ; 4.96 
990 ;* mu. Cyg                ;21 44 08.57793 +28 44 33.4731;326.03574137 +28.74263143  ; 4.50 
991 ;* 39 Eri                 ;04 14 23.68902 -10 15 22.6083;063.59870424 -10.25628008  ; 4.86 
992 ;* ome For                ;02 33 50.70365 -28 13 56.4403;038.46126522 -28.23234453  ; 4.957
993 ;* q Tau                  ;03 45 12.49578 +24 28 02.2097;056.30206575 +24.46728048  ; 4.30 
994 ;* rho Vir                ;12 41 53.05658 +10 14 08.2548;190.47106907 +10.23562633  ; 4.88 
995 ;* psi01 Aqr              ;23 15 53.49482 -09 05 15.8546;348.97289510 -09.08773739  ; 4.25 
996 ;HD 85859                 ;09 54 12.31900 -25 55 56.4412;148.55132917 -25.93234477  ; 4.88 
997 ;* ome02 Tau              ;04 17 15.66155 +20 34 42.9340;064.31525645 +20.57859279  ; 4.925
998 ;* 23 Vul                 ;20 15 46.13481 +27 48 51.2787;303.94222837 +27.81424409  ; 4.52 
999 ;* 8 Cyg                  ;19 31 46.32184 +34 27 10.6874;292.94300766 +34.45296874  ; 4.72 
1000;* 32 Peg                 ;22 21 19.33935 +28 19 49.9027;335.33058063 +28.33052852  ; 4.81 
1001;* iot Psc                ;23 39 57.04138 +05 37 34.6475;354.98767240 +05.62629098  ; 4.120
1002;* l Vir                  ;13 31 57.88506 -06 15 20.9419;202.99118774 -06.25581719  ; 4.69 
1003;HR 2874                  ;07 29 51.41199 -23 01 27.4317;112.46421661 -23.02428659  ; 4.86 
1004;* 12 Vul                 ;19 51 04.10821 +22 36 36.1732;297.76711756 +22.61004811  ; 4.96 
1005;Cl Collinder 69          ;05 35 06.0 +09 56 00         ;083.7750 +09.9333          ; 2.8  
1006;* ome Hya                ;09 05 58.36642 +05 05 32.3360;136.49319343 +05.09231555  ; 4.996
1007;* alf02 Cap              ;20 18 03.25595 -12 32 41.4684;304.51356645 -12.54485232  ; 3.58 
1008;* tau Sco                ;16 35 52.95285 -28 12 57.6615;248.97063689 -28.21601709  ; 2.81 
1009;* 140 Pup                ;07 40 23.21132 -15 15 50.1035;115.09671384 -15.26391763  ; 4.981
