 N  ;       identifier        ;  coord1 (ICRS,J2000/2000)   ; coord2 (ICRS,J2000/2000)  ;Mag V 
102 ;* zet Cyg                ;21 12 56.18594 +30 13 36.8957;318.23410806 +30.22691546  ; 3.21 
103 ;* mu. Aql                ;19 34 05.35353 +07 22 44.1796;293.52230639 +07.37893877  ; 4.45 
104 ;* 19 Mon                 ;07 02 54.77667 -04 14 21.2377;105.72823613 -04.23923269  ; 5.00 
105 ;* zet Tau                ;05 37 38.68542 +21 08 33.1588;084.41118926 +21.14254411  ; 3.03 
106 ;* 89 Vir                 ;13 49 52.28332 -18 08 03.0046;207.46784715 -18.13416794  ; 4.970
107 ;V* FH Ser                ;18 30 47.04 +02 36 52.0      ;277.69600 +02.61444        ; 4.39 
108 ;* gam01 Ari              ;01 53 31.772 +19 17 46.27    ;028.382383 +19.296186      ; 4.70 
109 ;V* V368 Aql              ;19 26 34.46 +07 36 13.8      ;291.64358 +07.60383        ; 5.0  
110 ;* alf CrB                ;15 34 41.26800 +26 42 52.8940;233.67195002 +26.71469278  ; 2.24 
111 ;* alf Crv                ;12 08 24.81652 -24 43 43.9504;182.10340218 -24.72887510  ; 4.00 
112 ;* chi Cyg                ;19 50 33.92439 +32 54 50.6097;297.64135163 +32.91405824  ; 4.24 
113 ;* eps PsA                ;22 40 39.34075 -27 02 37.0157;340.16391980 -27.04361546  ; 4.180
114 ;* tau Leo                ;11 27 56.23976 +02 51 22.5609;171.98433231 +02.85626691  ; 4.950
115 ;* 37 Tau                 ;04 04 41.71484 +22 04 54.9243;061.17381184 +22.08192341  ; 4.37 
116 ;* 15 CMa                 ;06 53 32.90719 -20 13 27.3177;103.38711328 -20.22425492  ; 4.83 
117 ;* gam Cet                ;02 43 18.03910 +03 14 08.9390;040.82516290 +03.23581638  ; 3.47 
118 ;* gam Lep                ;05 44 27.79089 -22 26 54.1808;086.11579539 -22.44838356  ; 3.60 
119 ;* eps CMi                ;07 25 38.89613 +09 16 33.9541;111.41206721 +09.27609836  ; 4.998
120 ;* rho Ser                ;15 51 15.90985 +20 58 40.5166;237.81629103 +20.97792128  ; 4.78 
121 ;* 56 Peg                 ;23 07 06.73908 +25 28 05.7329;346.77807952 +25.46825914  ; 4.74 
122 ;* del For                ;03 42 14.90248 -31 56 18.1055;055.56209365 -31.93836263  ; 4.970
123 ;TYC 6744-1753-1          ;14 28 10.437 -29 29 29.97    ;217.043488 -29.491658      ; 4.972
124 ;* mu. Gem                ;06 22 57.62686 +22 30 48.8979;095.74011193 +22.51358275  ; 2.87 
125 ;* alf CMa A              ;06 45 08.917 -16 42 58.02    ;101.287154 -16.716117      ;-1.09 
126 ;* 32 Eri A               ;03 54 17.469 -02 57 14.54    ;058.572787 -02.954039      ; 4.79 
127 ;* mu. Leo                ;09 52 45.81654 +26 00 25.0319;148.19090227 +26.00695330  ; 3.88 
128 ;* 31 Peg                 ;22 21 31.07511 +12 12 18.6628;335.37947961 +12.20518412  ; 4.99 
129 ;* i Aql                  ;19 01 40.82707 -05 44 20.8134;285.42011280 -05.73911485  ; 4.02 
130 ;* alf02 Lib              ;14 50 52.71309 -16 02 30.3955;222.71963789 -16.04177652  ; 2.75 
131 ;HR 2766                  ;07 16 34.99334 -27 52 52.2427;109.14580559 -27.88117852  ; 4.64 
132 ;* del Aqr                ;22 54 39.01351 -15 49 14.9782;343.66255630 -15.82082729  ; 3.28 
133 ;* sig CMa                ;07 01 43.14779 -27 56 05.3898;105.42978244 -27.93483049  ; 3.47 
134 ;IDS 15505-3340 AB        ;15 56 53.7 -33 57 50         ;239.2237 -33.9639          ; 4.58 
135 ;BD+05 939A               ;05 30 47.06 +05 56 53.3      ;082.69608 +05.94814        ; 4.44 
136 ;* zet Ori A              ;05 40 45.527 -01 56 33.26    ;085.189696 -01.942572      ; 1.88 
137 ;* eps CrB                ;15 57 35.25147 +26 52 40.3635;239.39688111 +26.87787876  ; 4.130
138 ;* 93 Leo                 ;11 47 59.13595 +20 13 08.1500;176.99639979 +20.21893056  ; 4.537
139 ;* 29 Boo A               ;14 40 43.56 +16 25 05.9      ;220.18150 +16.41831        ; 4.9  
140 ;* ome Eri                ;04 52 53.66995 -05 27 09.6972;073.22362480 -05.45269367  ; 4.40 
141 ;* tet Ant                ;09 44 12.09512 -27 46 10.1011;146.05039632 -27.76947252  ; 4.79 
142 ;* 70 Aql                 ;20 36 43.63281 -02 32 59.8403;309.18180337 -02.54995563  ; 4.903
143 ;* rho Hya                ;08 48 25.97057 +05 50 16.1283;132.10821073 +05.83781343  ; 4.343
144 ;* del Boo                ;15 15 30.16295 +33 18 53.3926;228.87567897 +33.31483127  ; 3.49 
145 ;* 70 Oph                 ;18 05 27.28518 +02 30 00.3558;271.36368827 +02.50009883  ; 4.03 
146 ;* k02 Pup                ;07 38 49.869 -26 48 13.80    ;114.707788 -26.803833      ; 4.429
147 ;* alf Lyn                ;09 21 03.30074 +34 23 33.2245;140.26375310 +34.39256237  ; 3.14 
148 ;HR 7659                  ;20 04 19.59387 -32 03 22.6729;301.08164113 -32.05629802  ; 4.99 
149 ;* del Equ                ;21 14 28.81531 +10 00 25.1259;318.62006378 +10.00697940  ; 4.49 
150 ;* ups02 Eri              ;04 35 33.03834 -30 33 44.4297;068.88765974 -30.56234160  ; 3.82 
151 ;V* V841 Oph              ;16 59 30.37 -12 53 27.1      ;254.87654 -12.89086        ; 4.3  
