Date__(UT)__HR:MN, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),
 2016-Nov-29 00:00, , ,245.13599,-21.47071,
 2016-Nov-30 00:00, , ,246.21088,-21.63676,
 2016-Dec-01 00:00, , ,247.28854,-21.79593,
 2016-Dec-02 00:00, , ,248.36887,-21.94816,
 2016-Dec-03 00:00, , ,249.45177,-22.09336,
 2016-Dec-04 00:00, , ,250.53713,-22.23145,
 2016-Dec-05 00:00, , ,251.62484,-22.36236,
 2016-Dec-06 00:00, , ,252.71477,-22.48602,
 2016-Dec-07 00:00, , ,253.80682,-22.60237,
 2016-Dec-08 00:00, , ,254.90086,-22.71134,
 2016-Dec-09 00:00, , ,255.99679,-22.81287,
 2016-Dec-10 00:00, , ,257.09448,-22.90691,
 2016-Dec-11 00:00, , ,258.19381,-22.99341,
 2016-Dec-12 00:00, , ,259.29469,-23.07232,
 2016-Dec-13 00:00, , ,260.39699,-23.14360,
 2016-Dec-14 00:00, , ,261.50062,-23.20721,
 2016-Dec-15 00:00, , ,262.60546,-23.26311,
 2016-Dec-16 00:00, , ,263.71141,-23.31128,
 2016-Dec-17 00:00, , ,264.81835,-23.35168,
 2016-Dec-18 00:00, , ,265.92616,-23.38430,
 2016-Dec-19 00:00, , ,267.03471,-23.40912,
 2016-Dec-20 00:00, , ,268.14387,-23.42612,
 2016-Dec-21 00:00, , ,269.25349,-23.43529,
 2016-Dec-22 00:00, , ,270.36344,-23.43662,
 2016-Dec-23 00:00, , ,271.47357,-23.43010,
 2016-Dec-24 00:00, , ,272.58372,-23.41574,
 2016-Dec-25 00:00, , ,273.69376,-23.39354,
 2016-Dec-26 00:00, , ,274.80352,-23.36351,
 2016-Dec-27 00:00, , ,275.91286,-23.32565,
 2016-Dec-28 00:00, , ,277.02163,-23.28000,
 2016-Dec-29 00:00, , ,278.12966,-23.22657,
 2016-Dec-30 00:00, , ,279.23680,-23.16538,
 2016-Dec-31 00:00, , ,280.34291,-23.09646,
